id,RANK,MRR,nDCG,P@1,P@5
90,askerFeedback_cos,0.25,0.76322592838,0.0,0.4
90,favorite_url,0.25,0.73370745705,0.0,0.2
90,sentimentAsker,0.333333333333,0.796938230926,0.0,0.6
93,askerFeedback,1.0,0.737458431213,1.0,0.4
93,sentiment,0.166666666667,0.553661394787,0.0,0.0
93,cos,0.333333333333,0.59144232585,0.0,0.4
93,url,0.5,0.591888882477,0.0,0.4
93,replies,0.166666666667,0.553661394787,0.0,0.0
93,sentiment_url,0.25,0.546677417094,0.0,0.4
93,favoriteAsker,0.333333333333,0.59144232585,0.0,0.4
93,askerFeedback_url,1.0,0.680494358296,1.0,0.4
93,singleTweet,0.5,0.575330918283,0.0,0.2
93,favorite,0.333333333333,0.59144232585,0.0,0.4
93,askerFeedback_cos,1.0,0.71756154435,1.0,0.4
93,favorite_url,0.166666666667,0.516594208733,0.0,0.0
93,sentimentAsker,0.25,0.603641490011,0.0,0.4
559,askerFeedback,0.333333333333,0.737159549057,0.0,0.4
559,sentiment,1.0,0.796680412471,1.0,0.4
559,cos,1.0,0.838903418989,1.0,0.4
559,url,1.0,0.897036490165,1.0,0.8
559,replies,1.0,0.822529016354,1.0,0.6
559,sentiment_url,1.0,0.804212714119,1.0,0.4
559,favoriteAsker,0.333333333333,0.718505069692,0.0,0.4
559,askerFeedback_url,0.333333333333,0.745351315006,0.0,0.4
559,singleTweet,1.0,0.757285490894,1.0,0.4
559,favorite,0.333333333333,0.737159549057,0.0,0.4
559,askerFeedback_cos,0.333333333333,0.734461431811,0.0,0.4
559,favorite_url,0.333333333333,0.745351315006,0.0,0.4
559,sentimentAsker,1.0,0.793322830925,1.0,0.4
558,askerFeedback,0.5,0.552548573,0.0,0.2
558,sentiment,0.333333333333,0.467616421472,0.0,0.2
558,cos,0.5,0.552548573,0.0,0.2
558,url,0.0833333333333,0.326738590854,0.0,0.0
558,replies,0.333333333333,0.467616421472,0.0,0.2
558,sentiment_url,0.0833333333333,0.326738590854,0.0,0.0
558,favoriteAsker,0.5,0.552548573,0.0,0.2
558,askerFeedback_url,0.0833333333333,0.326738590854,0.0,0.0
558,singleTweet,0.5,0.547895632324,0.0,0.2
558,favorite,0.333333333333,0.467616421472,0.0,0.2
558,askerFeedback_cos,0.333333333333,0.467616421472,0.0,0.2
558,favorite_url,0.0833333333333,0.326738590854,0.0,0.0
558,sentimentAsker,0.5,0.552548573,0.0,0.2
555,askerFeedback,1.0,0.70755819206,1.0,0.2
555,sentiment,0.333333333333,0.642135299441,0.0,0.4
555,cos,0.2,0.568287722682,0.0,0.2
555,url,0.2,0.558929090073,0.0,0.2
555,replies,0.333333333333,0.639439906352,0.0,0.4
555,sentiment_url,1.0,0.802435483222,1.0,0.8
555,favoriteAsker,0.2,0.568287722682,0.0,0.2
555,askerFeedback_url,1.0,0.743529431867,1.0,0.6
555,singleTweet,0.2,0.570000420488,0.0,0.2
555,favorite,0.166666666667,0.554057215678,0.0,0.0
555,askerFeedback_cos,1.0,0.745492753645,1.0,0.6
555,favorite_url,0.25,0.616348862161,0.0,0.4
555,sentimentAsker,1.0,0.826895194281,1.0,0.8
557,askerFeedback,0.0555555555556,0.274340024039,0.0,0.0
557,sentiment,0.047619047619,0.267584888675,0.0,0.0
557,cos,0.0666666666667,0.283629728728,0.0,0.0
557,url,0.030303030303,0.25637689029,0.0,0.0
557,replies,0.047619047619,0.267584888675,0.0,0.0
557,sentiment_url,0.0263157894737,0.25064406356,0.0,0.0
557,favoriteAsker,0.0625,0.280281142461,0.0,0.0
557,askerFeedback_url,0.0263157894737,0.25064406356,0.0,0.0
557,singleTweet,0.0714285714286,0.283588324165,0.0,0.0
557,favorite,0.05,0.269192836789,0.0,0.0
557,askerFeedback_cos,0.047619047619,0.267584888675,0.0,0.0
557,favorite_url,0.0263157894737,0.25064406356,0.0,0.0
557,sentimentAsker,0.0588235294118,0.277196998172,0.0,0.0
1191,askerFeedback,0.125,0.48793480935,0.0,0.0
1191,sentiment,0.125,0.48793480935,0.0,0.0
1191,cos,0.166666666667,0.525804298227,0.0,0.0
1191,url,0.5,0.595062837767,0.0,0.2
1191,replies,0.125,0.48793480935,0.0,0.0
1191,sentiment_url,0.25,0.512869980775,0.0,0.2
1191,favoriteAsker,0.166666666667,0.525804298227,0.0,0.0
1191,askerFeedback_url,0.25,0.512869980775,0.0,0.2
1191,singleTweet,0.2,0.548955334486,0.0,0.2
1191,favorite,0.166666666667,0.525804298227,0.0,0.0
1191,askerFeedback_cos,0.125,0.48793480935,0.0,0.0
1191,favorite_url,0.25,0.512869980775,0.0,0.2
1191,sentimentAsker,0.125,0.48793480935,0.0,0.0
1193,askerFeedback,0.0909090909091,0.589822013777,0.0,0.0
1193,sentiment,0.0833333333333,0.580846078719,0.0,0.0
1193,cos,0.1,0.599720056931,0.0,0.0
1193,url,1.0,0.873620310372,1.0,0.6
1193,replies,0.0833333333333,0.580846078719,0.0,0.0
1193,sentiment_url,0.333333333333,0.725929073097,0.0,0.4
1193,favoriteAsker,0.1,0.599720056931,0.0,0.0
1193,askerFeedback_url,0.333333333333,0.725929073097,0.0,0.4
1193,singleTweet,0.2,0.675416208662,0.0,0.2
1193,favorite,0.0909090909091,0.589822013777,0.0,0.0
1193,askerFeedback_cos,0.0833333333333,0.580846078719,0.0,0.0
1193,favorite_url,0.333333333333,0.725929073097,0.0,0.4
1193,sentimentAsker,0.0909090909091,0.589822013777,0.0,0.0
1192,askerFeedback,0.0625,0.382810375796,0.0,0.0
1192,sentiment,0.166666666667,0.415904223357,0.0,0.0
1192,cos,0.0769230769231,0.396825206906,0.0,0.0
1192,url,0.5,0.64180241207,0.0,0.6
1192,replies,0.5,0.499035935011,0.0,0.2
1192,sentiment_url,0.333333333333,0.539943768545,0.0,0.2
1192,favoriteAsker,0.0666666666667,0.387862329583,0.0,0.0
1192,askerFeedback_url,0.2,0.505705154934,0.0,0.2
1192,singleTweet,0.1,0.384944530226,0.0,0.0
1192,favorite,0.0666666666667,0.387862329583,0.0,0.0
1192,askerFeedback_cos,0.2,0.42517766197,0.0,0.2
1192,favorite_url,0.25,0.518966327706,0.0,0.2
1192,sentimentAsker,0.333333333333,0.464095976812,0.0,0.2
1194,askerFeedback,1.0,0.902723732577,1.0,0.8
1194,sentiment,1.0,0.902723732577,1.0,0.8
1194,cos,1.0,0.902723732577,1.0,0.8
1194,url,0.333333333333,0.800676383284,0.0,0.6
1194,replies,1.0,0.902723732577,1.0,0.8
1194,sentiment_url,0.333333333333,0.800676383284,0.0,0.6
1194,favoriteAsker,1.0,0.902723732577,1.0,0.8
1194,askerFeedback_url,0.333333333333,0.800676383284,0.0,0.6
1194,singleTweet,1.0,0.892300114034,1.0,0.8
1194,favorite,1.0,0.902723732577,1.0,0.8
1194,askerFeedback_cos,1.0,0.902723732577,1.0,0.8
1194,favorite_url,0.333333333333,0.800676383284,0.0,0.6
1194,sentimentAsker,1.0,0.902723732577,1.0,0.8
1176,askerFeedback,0.333333333333,0.5,0.0,0
1176,sentiment,1.0,1.0,1.0,0
1176,cos,0.333333333333,0.5,0.0,0
1176,url,1.0,1.0,1.0,0
1176,replies,1.0,1.0,1.0,0
1176,sentiment_url,1.0,1.0,1.0,0
1176,favoriteAsker,0.333333333333,0.5,0.0,0
1176,askerFeedback_url,1.0,1.0,1.0,0
1176,singleTweet,1.0,1.0,1.0,0
1176,favorite,1.0,1.0,1.0,0
1176,askerFeedback_cos,1.0,1.0,1.0,0
1176,favorite_url,1.0,1.0,1.0,0
1176,sentimentAsker,0.333333333333,0.5,0.0,0
1170,askerFeedback,0.333333333333,0.513632451474,0.0,0.4
1170,sentiment,0.5,0.626326805831,0.0,0.6
1170,cos,0.0384615384615,0.324071533289,0.0,0.0
1170,url,0.0526315789474,0.350734987274,0.0,0.0
1170,replies,0.2,0.500136895711,0.0,0.2
1170,sentiment_url,1.0,0.802633385559,1.0,0.4
1170,favoriteAsker,0.333333333333,0.429647369619,0.0,0.2
1170,askerFeedback_url,0.333333333333,0.56513536803,0.0,0.4
1170,singleTweet,0.037037037037,0.332643911593,0.0,0.0
1170,favorite,1.0,0.752724851323,1.0,0.6
